Country,Other;TotalCases;NewCases;TotalDeaths;NewDeaths;TotalRecovered;NewRecovered;ActiveCases;Serious,Critical;Tot Cases/1M pop;Deaths/1M pop;TotalTests;"Tests/
1M pop
";Population;Continent;1 Caseevery X ppl;1 Deathevery X ppl;1 Testevery X ppl;New Cases/1M pop;New Deaths/1M pop;Active Cases/1M pop;Column1
Chad;7701;;194;;4,874;;2,633;;442;11;191341;10988;17413580;Africa;2261;89761;91;;;151;
British Virgin Islands;7305;;64;;N/A;N/A;N/A;;238757;2092;107339;3508269;30596;North America;4;478;0;;;392;
Cook Islands;7168;;2;;7,150;;16;;407945;114;19690;1120596;17571;Australia/Oceania;2;8786;1;;;911;
Turks and Caicos;6656;;39;;6,602;;15;4;167484;981;615226;15480889;39741;North America;6;1019;0;;;377;
Saint Kitts and Nevis;6607;;48;;6,559;;0;;122645;891;126958;2356704;53871;North America;8;1122;0;;;;
Sao Tome and Principe;6601;;80;;6,521;;0;;28993;351;29036;127530;227679;Africa;34;2846;8;;;;
Palau;6248;;9;;6,238;;1;;342675;494;70874;3887128;18233;Australia/Oceania;3;2026;0;;;55;
St. Barth;5507;;6;;N/A;N/A;N/A;;553746;603;78646;7908095;9945;North America;2;1658;0;;;506687;
Nauru;5393;;1;;5,347;;45;;494635;92;20509;1881042;10903;Australia/Oceania;2;10903;1;;;4127;
Kiribati;5085;;24;;2,703;;2,358;3;41201;194;;;123419;Australia/Oceania;24;5142;;;;19106;
Anguilla;3904;;12;;3,879;;13;4;256336;788;51382;3373736;15230;North America;4;1269;0;;;854;
Wallis and Futuna;3550;;8;;438;;3,104;;323256;728;20508;1867419;10982;Australia/Oceania;3;1373;1;;;282644;
Saint Pierre Miquelon;3452;;2;;2,449;;1,001;1;599410;347;25400;4410488;5759;North America;2;2880;0;;;173815;
Tuvalu;2943;;1;;;;2,942;;243909;83;;;12066;Australia/Oceania;4;12066;;;;243826;
Saint Helena;2166;;;;2;;2,164;;354211;;;;6115;Africa;3;;;;;353884;
Falkland Islands;1930;;;;1,930;;0;;545352;;8632;2439107;3539;South America;2;;0;;;;
Montserrat;1403;;8;;1,376;;19;;282578;1611;17762;3577442;4965;North America;4;621;0;;;3827;
Niue;889;;;;889;+2;0;;548089;;;;1622;Australia/Oceania;2;;;;;;
Diamond Princess;712;;13;;699;;0;;;;;;;;;;;;;;
Tokelau;80;;;;;;80;;58055;;;;1378;Australia/Oceania;17;;;;;58055;
Vatican City;29;;;;29;;0;;36295;;;;799;Europe;28;;;;;;
Western Sahara;10;;1;;9;;0;;16;2;;;626161;Africa;62616;626161;;;;;
MS Zaandam;9;;2;;7;;0;;;;;;;;;;;;;;
China;503302;;5272;;379,053;;118,977;N/A;347;4;160000000;110461;1448471400;Asia;2878;274748;9;;;82;
